Generation,Solution,Fitness,Parameters,Fittest
12,"""111010100001110000110000""",0.4774340093135834,"(113.0, 650.0, 43.0, 15.0)",Elite
12,"""111010100001110000110000""",0.43872201442718506,"(113.0, 650.0, 43.0, 15.0)",Population
12,"""111010101001111110000001""",0.6126490235328674,"(113.0, 881.0, 19.0, 6.0)",Population
12,"""111010100001110000100001""",0.7535669803619385,"(113.0, 650.0, 35.0, 12.0)",Population
12,"""111010101001011110010000""",0.87608402967453,"(113.0, 867.0, 27.0, 9.0)",Population
12,"""111010100001111110000001""",0.6243669986724854,"(113.0, 656.0, 19.0, 6.0)",Population
12,"""111010101001111110000001""",0.4515190124511719,"(113.0, 881.0, 19.0, 6.0)",Population
12,"""111010100001111010110001""",0.5791590213775635,"(113.0, 654.0, 43.0, 15.0)",Population
12,"""111010100001110000110000""",0.8059920072555542,"(113.0, 650.0, 43.0, 15.0)",Population
12,"""111010100001110000110000""",0.8030970096588135,"(113.0, 650.0, 43.0, 15.0)",Population
12,"""111011101001110110000000""",0.6166409850120544,"(114.0, 877.0, 18.0, 6.0)",Population
12,"""111010100001111110000000""",0.9003530144691467,"(113.0, 656.0, 18.0, 6.0)",Population
12,"""111010100001110000110000""",0.7000010013580322,"(113.0, 650.0, 43.0, 15.0)",Population
12,"""111010000001101110000001""",0.8008430004119873,"(112.0, 649.0, 19.0, 6.0)",Population
12,"""111011101001110110010000""",0.9021530151367188,"(114.0, 877.0, 27.0, 9.0)",Population
12,"""111010100001110000110000""",0.7631059885025024,"(113.0, 650.0, 43.0, 15.0)",Population
12,"""111010001001101110000001""",0.5034819841384888,"(112.0, 874.0, 19.0, 6.0)",Population
12,"""111010100001101110000001""",0.8659430146217346,"(113.0, 649.0, 19.0, 6.0)",Population
12,"""111010100001110000110000""",0.7683460116386414,"(113.0, 650.0, 43.0, 15.0)",Population
12,"""111010100001111110000000""",0.9922580122947693,"(113.0, 656.0, 18.0, 6.0)",Population
12,"""111011101001110110000011""",0.6416379809379578,"(114.0, 877.0, 20.0, 7.0)",Population
12,"""111010100001111110000001""",0.7973780035972595,"(113.0, 656.0, 19.0, 6.0)",Population
12,"""111010101001011110010001""",0.5813900232315063,"(113.0, 867.0, 27.0, 9.0)",Population
12,"""111010100001110000110000""",0.710565984249115,"(113.0, 650.0, 43.0, 15.0)",Population
12,"""111010101001001110000001""",0.5067769885063171,"(113.0, 860.0, 19.0, 6.0)",Population
12,"""111010100001110000111000""",0.6934499740600586,"(113.0, 650.0, 47.0, 16.0)",Population
12,"""111011101001110110000000""",0.5441489815711975,"(114.0, 877.0, 18.0, 6.0)",Population
12,"""111010100001110110110000""",1.0146620273590088,"(113.0, 652.0, 43.0, 15.0)",Population
12,"""111011101001110000000000""",0.46117299795150757,"(114.0, 875.0, 18.0, 6.0)",Population
13,"""111010100001110000110000""",0.43872201442718506,"(113.0, 650.0, 43.0, 15.0)",Fittest
13,"""111010101001111110000001""",0.4515190124511719,"(113.0, 881.0, 19.0, 6.0)",Elite
13,"""111010100001110000110000""",0.45900601148605347,"(113.0, 650.0, 43.0, 15.0)",Elite
13,"""111010101001001110000001""",0.5194299817085266,"(113.0, 860.0, 19.0, 6.0)",Population
13,"""111010100001110000110000""",0.718766987323761,"(113.0, 650.0, 43.0, 15.0)",Population
13,"""111011101001110000000000""",0.7472320199012756,"(114.0, 875.0, 18.0, 6.0)",Population
13,"""111010101001111110000001""",0.5881999731063843,"(113.0, 881.0, 19.0, 6.0)",Population
13,"""111011101001110000000000""",0.4429900050163269,"(114.0, 875.0, 18.0, 6.0)",Population
13,"""111010101001001110000001""",0.6866220235824585,"(113.0, 860.0, 19.0, 6.0)",Population
13,"""111011101001110000000000""",0.5987030267715454,"(114.0, 875.0, 18.0, 6.0)",Population
13,"""111010101001111110000001""",0.4602000117301941,"(113.0, 881.0, 19.0, 6.0)",Population
13,"""111010100001110000110000""",0.8533769845962524,"(113.0, 650.0, 43.0, 15.0)",Population
13,"""111010100001111110000001""",0.5521640181541443,"(113.0, 656.0, 19.0, 6.0)",Population
