frame,timestamp,x,y,z,qw,qx,qy,qz,v_x (m/s),v_y (m/s),v_z (m/s),w_x (rad/s),w_y (rad/s),w_z (rad/s),acc x (m/s^2),acc y (m/s^2),acc z (m/s^2)
935,620000000.0,0.0,0.000244941795245,0.0,1.0,0.0,0.0,0.0,2.96770448216e-08,0.000359983445378,2.98688682677e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
936,630000000.0,0.0,0.000241508474581,-1.42108547152e-14,1.0,0.0,0.0,0.0,-2.1747698753e-08,0.000342788698617,1.16600027412e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
937,640000000.0,3.5527136788e-15,0.000238227890808,-2.84217094304e-14,1.0,0.0,0.0,0.0,-1.20011884874e-08,0.000326490408042,1.24344303743e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
938,650000000.0,0.0,0.000235137995336,-1.42108547152e-14,1.0,0.0,0.0,0.0,-3.94764292366e-08,0.000309858325636,-3.04004510449e-09,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
939,660000000.0,0.0,0.000232200720351,-1.42108547152e-14,1.0,0.0,0.0,0.0,3.80672666722e-08,0.000294752127957,1.2722532361e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
940,670000000.0,0.0,0.000229415949434,-1.42108547152e-14,1.0,0.0,0.0,0.0,-4.07128908364e-09,0.000279741274426,-1.91351023914e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
941,680000000.0,0.0,0.000229415949434,-1.42108547152e-14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
942,690000000.0,0.0,0.000229415949434,-1.42108547152e-14,1.0,0.0,0.0,0.0,-9.4351841895e-09,6.49738285574e-05,-5.65088420494e-10,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
943,700000000.0,3.5527136788e-15,0.000227928161625,-1.42108547152e-14,1.0,0.0,0.0,0.0,-1.86028614735e-09,8.56971746543e-05,2.94549291624e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
944,710000000.0,0.0,0.000226898235269,-1.42108547152e-14,1.0,0.0,0.0,0.0,3.65294816618e-08,0.000101871490187,-1.80619572632e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
945,720000000.0,3.5527136788e-15,0.000225753872662,0.0,1.0,0.0,0.0,0.0,-2.9770225396e-08,0.000115432740131,-7.1915223774e-10,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
946,730000000.0,0.0,0.000224494957362,-1.42108547152e-14,1.0,0.0,0.0,0.0,-5.29043031605e-09,0.000125446313177,-1.86841342395e-09,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
947,740000000.0,0.0,0.000223159790039,-1.42108547152e-14,1.0,0.0,0.0,0.0,8.2660482903e-09,0.000132112501888,-2.77353451314e-09,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
948,750000000.0,0.0,0.000221786554906,0.0,1.0,0.0,0.0,0.0,1.40552336436e-09,0.000137453069328,2.77171281482e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
949,760000000.0,0.0,0.000220375135541,-1.42108547152e-14,1.0,0.0,0.0,0.0,-8.58336246523e-09,0.00013956069597,-5.07786568348e-09,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
950,770000000.0,0.0,0.000218963716179,-1.42108547152e-14,1.0,0.0,0.0,0.0,-3.8719850437e-08,0.000141334530781,1.077552092e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
951,780000000.0,3.5527136788e-15,0.000217552180402,0.0,1.0,0.0,0.0,0.0,6.5419612838e-08,0.000140790929436,9.81069536723e-09,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
952,790000000.0,0.0,0.000216140761044,0.0,1.0,0.0,0.0,0.0,1.15042073645e-08,0.000139808646054,-2.09967350173e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
953,800000000.0,0.0,0.000214767525907,-1.42108547152e-14,1.0,0.0,0.0,0.0,-3.27408109513e-08,0.00013774872059,-4.77229145088e-09,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
954,810000000.0,3.5527136788e-15,0.000213394174352,-1.42108547152e-14,1.0,0.0,0.0,0.0,5.10223330252e-09,0.000135602953378,-6.30893959294e-09,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
955,820000000.0,3.5527136788e-15,0.000212059123442,0.0,1.0,0.0,0.0,0.0,-3.61211753841e-08,0.00013256072998,8.92549234523e-09,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
